Time,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
Quý 4/2011,1021931,756825,875083,604635,1490644
Quý 1/2012,1019304,812685,928674,580462,1515531
Quý 2/2012,1079265,915518,1118506,599999,1716360
Quý 3/2012,1137597,970185,1190791,608780,1828572
Quý 4/2012,1030908,870460,1061301,590873,1721341
Quý 1/2013,975849,876021,1063367,567341,1674172
Quý 2/2013,853412,747485,950919,574214,1568126
Quý 3/2013,930625,784263,1012609,603405,1662349
Quý 4/2013,904047,818326,1034064,593426,1677188
Quý 1/2014,900326,773199,1026562,597980,1674876
Quý 2/2014,783035,600723,883823,628838,1563872
Quý 3/2014,954330,706797,1032541,666603,1755044
Quý 4/2014,989624,788821,1068430,744361,1812792
Quý 1/2015,1200034,791907,1023908,1000905,2024813
Quý 2/2015,1156274,825834,972546,1032987,2005533
Quý 3/2015,1233825,881118,1032651,1085814,2118466
Quý 4/2015,1317954,978444,1096204,1108479,2204683
Quý 1/2016,1483497,1073959,1254158,1121166,2375324
Quý 2/2016,1479070,1155455,1329196,1095715,2424911
Quý 3/2016,1490075,1202000,1332763,1149457,2482220
Quý 4/2016,1302540,1096861,1181257,1179793,2361050
Quý 1/2017,1542768,1294824,1408665,932613,2612221
Quý 2/2017,1623697,1300424,1509960,935623,2716193
Quý 3/2017,1905337,1647550,1851567,1269410,3120977
Quý 4/2017,1683622,1428124,1729218,1267481,2996698
Quý 1/2018,1967147,1635004,1995146,1297264,3292410
Quý 2/2018,2021912,1726815,2064251,1307179,3371430
Quý 3/2018,2178587,1877812,2223016,1370494,3593510
Quý 4/2018,2297584,1809968,2466374,1385707,3852081
Quý 1/2019,2439354,1920682,2653437,1382212,4035649
Quý 2/2019,3065533,1709516,2439995,2235046,4675083
Quý 3/2019,3042821,1686628,2461109,2263222,4724331
Quý 4/2019,2931781,1663712,2375090,2273528,4648618
Quý 1/2020,3153232,1884668,2664478,2293633,4958111
Quý 2/2020,3069638,1888453,2691872,2357818,5049690
Quý 3/2020,3055209,2008380,2756197,2345166,5101363
Quý 4/2020,2921848,1991382,2629969,2398910,5028879
Quý 1/2021,3126655,2153015,2867035,2386282,5253316
Quý 2/2021,3215365,2218167,2965026,2481194,5446220
Quý 3/2021,3739980,2522802,3405804,2590378,5996182
Quý 4/2021,3650198,2593666,3508931,2661539,6170471
Quý 1/2022,3497029,2810814,3628964,2815657,6444621
Quý 2/2022,3541812,2867980,3715804,2962088,6677892
Quý 3/2022,3803282,2881133,3847108,3075648,6922756
Quý 4/2022,3402610,2714102,3506610,3135052,6641662
Quý 1/2023,3234755,2994574,3802847,3171000,6973847
Quý 2/2023,3366116,2836005,3707986,3239877,6947863
Quý 3/2023,3677883,3095310,4005505,3273530,7279034
Quý 4/2023,3247345,2732743,3580664,3341595,6922260
Quý 1/2024,3587665,2926816,3862932,3440604,7303536
Quý 2/2024,3962958,3222336,4251333,3445220,7696552
Quý 3/2024,3964438,3163827,4134018,3585717,7719735
Quý 4/2024,3835118,3107583,4050457,3682465,7732923
Quý 1/2025,4075552,3097256,4076266,3799414,7875680
Quý 2/2025,4488184,3712953,4788060,3866307,8654366
Quý 3/2025,5728659,3622612,6056743,3991473,10048216
