Time,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
Quý 1/2012,848876,442182,468897,623184,1092146
Quý 2/2012,800300,457143,476690,592981,1069671
Quý 3/2012,756820,365806,382340,641503,1023903
Quý 4/2012,629200,254206,267745,672506,940310
Quý 1/2013,574393,250403,264067,641422,905546
Quý 2/2013,572900,272795,285390,641444,926886
Quý 3/2013,524347,251887,263604,617324,880979
Quý 4/2013,616291,305877,322151,648241,970442
Quý 1/2014,616832,321353,324915,625297,950260
Quý 2/2014,566410,259372,261808,631858,893711
Quý 3/2014,620147,324982,331479,625246,963365
Quý 4/2014,699668,344696,387633,681291,1086519
Quý 1/2015,726370,335241,417690,680488,1116742
Quý 2/2015,662861,305033,404850,634899,1056627
Quý 3/2015,682473,251330,370892,670259,1041151
Quý 4/2015,716601,280843,403195,729454,1132648
Quý 1/2016,763112,355884,466521,701963,1168483
Quý 2/2016,1059610,593426,705092,730066,1435158
Quý 3/2016,1041588,518754,648073,763676,1411749
Quý 4/2016,839371,263112,375998,785648,1161646
Quý 1/2017,790627,192773,304892,803144,1108037
Quý 2/2017,883646,283626,395913,783316,1179228
Quý 3/2017,802381,213299,309322,783264,1092586
Quý 4/2017,768878,177016,262852,793937,1056790
Quý 1/2018,696376,129915,186492,792095,978587
Quý 2/2018,742375,151374,210613,786775,997389
Quý 3/2018,720281,155127,216150,786756,1002906
Quý 4/2018,774944,218899,263948,791303,1055251
Quý 1/2019,721030,155982,201978,794987,996965
Quý 2/2019,717994,182374,227032,795948,1022981
Quý 3/2019,691361,152584,198802,799628,998430
Quý 4/2019,1112489,563228,590095,823965,1414060
Quý 1/2020,958371,402208,430011,827984,1257994
Quý 2/2020,918281,349816,378377,836386,1214763
Quý 3/2020,815262,238655,267846,840831,1108677
Quý 4/2020,1206093,635812,644985,853451,1498436
Quý 1/2021,1108378,541169,550449,860136,1410585
Quý 2/2021,1060106,481356,492110,870938,1363047
Quý 3/2021,1013287,396279,407421,853864,1261285
Quý 4/2021,878345,267894,276868,870331,1147199
Quý 1/2022,834550,258664,265915,887023,1152939
Quý 2/2022,777664,194415,200928,895336,1096264
Quý 3/2022,875171,284831,292897,908136,1201033
Quý 4/2022,821042,224388,233430,911231,1144662
Quý 1/2023,804721,212825,221980,914746,1136727
Quý 2/2023,956339,362320,368673,918050,1286722
Quý 3/2023,1021510,407257,420570,952559,1373129
Quý 4/2023,1222109,585706,670439,1152712,1823151
Quý 1/2024,960145,312411,395170,1159500,1554670
Quý 2/2024,944239,310115,392658,1169636,1562294
Quý 3/2024,961696,311952,404214,1180453,1584667
Quý 4/2024,1184525,651306,741301,1250539,1991840
Quý 1/2025,1115382,499309,759337,1251975,2011313
Quý 2/2025,1352810,507341,763012,1386389,2149401
Quý 3/2025,1644653,713039,968356,1472615,2440970
Quý 4/2025,1701023,693389,948892,1545890,2494783
