Time,Current_Assets,Total_Assets,Total_Liabilities,Current_Liabilities,Equity
Quý 1/2012,10656599,14272591,7515345,7257525,5858498
Quý 2/2012,10787561,14404612,7339191,7065492,6089283
Quý 3/2012,11037975,14692014,7520895,7219370,6152706
Quý 4/2012,10282181,14270464,7194525,6899105,6181640
Quý 1/2013,9906638,14059015,6523998,6285133,6528838
Quý 2/2013,11274078,15523397,7428091,7169969,6989818
Quý 3/2013,11269784,15709061,7660120,7378687,6904109
Quý 4/2013,12954621,17617926,9363078,9075739,7209656
Quý 1/2014,12668500,17446248,8710120,8412879,7574003
Quý 2/2014,12729372,17766402,8885205,8600724,7587818
Quý 3/2014,14847358,19945743,10987860,10670684,7628831
Quý 4/2014,16961911,22659686,13405222,13062886,7909990
Quý 1/2015,16319851,22206060,12362568,11843484,8380860
Quý 2/2015,16240765,22581606,12657394,12339406,9924212
Quý 3/2015,16827486,23677162,13704991,13006055,9972171
Quý 4/2015,19209380,25983205,15804968,14804951,10178237
Quý 1/2016,17461659,24695453,14052383,12948093,10643071
Quý 2/2016,17801377,25344505,14434112,13305700,10910393
Quý 3/2016,18913792,26397928,15434639,14346985,10963289
Quý 4/2016,22082043,29912454,18464444,17471940,11448011
Quý 1/2017,20264901,28003927,16023450,14835526,11980477
Quý 2/2017,20220920,28045804,15895578,14738302,12150226
Quý 3/2017,21767021,29693707,16659921,15768900,13033786
Quý 4/2017,16053004,25025223,11790285,11129329,13234938
Quý 1/2018,15891378,25010920,11111084,10523958,13899836
Quý 2/2018,16757931,26286146,12400576,11901668,13885569
Quý 3/2018,17461655,28080869,13916060,13360082,14164809
Quý 4/2018,18373436,29725930,14963121,14432175,14762809
Quý 1/2019,16918516,28748321,13215558,12709176,15532763
Quý 2/2019,17849605,30375757,14570321,14116094,15805436
Quý 3/2019,18431910,32276824,16025694,15404438,16251130
Quý 4/2019,19038081,33658743,16783931,16291313,16874812
Quý 1/2020,19577485,34416669,16785979,15838155,17630689
Quý 2/2020,20974738,35912809,18009083,16991795,17903726
Quý 3/2020,22473334,37757457,19576056,18551812,18181401
Quý 4/2020,25608346,41749437,23146724,22382165,18602713
Quý 1/2021,27905525,44474278,24743978,22968033,19730300
Quý 2/2021,30007117,46980501,26922973,24989658,20057528
Quý 3/2021,30655506,48244878,27920745,25891182,20324133
Quý 4/2021,35116784,53696644,32276467,29811587,21420177
Quý 1/2022,36617351,55601299,32641898,30137625,22959402
Quý 2/2022,37159706,56295551,32883878,30416062,23411673
Quý 3/2022,35269475,55127102,31071333,28697861,24055768
Quý 4/2022,30933925,51655409,26312428,24534231,25342981
Quý 1/2023,29524493,50741161,23679982,23043505,27061179
Quý 2/2023,38758397,60556686,31961502,31322666,28595184
Quý 3/2023,39531943,62112676,33707021,33050415,28405656
Quý 4/2023,36709543,60325276,30376921,29667280,29948355
Quý 1/2024,37679149,62024705,30297604,29033183,31727101
Quý 2/2024,40823156,65321968,32537727,31341216,32784240
Quý 3/2024,42605106,67581587,32217403,30969637,35364184
Quý 4/2024,45475496,72013238,36216612,34780312,35796626
Quý 1/2025,46075511,73997673,36101018,33917117,37896655
Quý 2/2025,52711180,81601597,41725135,37683199,39876462
Quý 3/2025,53632977,82738305,39907781,36285960,42830524
Quý 4/2025,58102971,88089622,44338155,41552785,43751466
