Time,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
Quý 3/2011,465851,324425,428535,202006,763789
Quý 4/2011,421099,275334,383286,220855,762707
Quý 1/2012,382293,256314,358181,214230,708573
Quý 2/2012,366148,286748,351468,204504,688655
Quý 3/2012,353508,281410,339097,203447,669973
Quý 4/2012,386735,239615,301078,217449,647344
Quý 1/2013,367404,229039,284962,213589,621828
Quý 2/2013,350610,227644,278212,214641,597686
Quý 3/2013,341198,222074,264877,216883,581905
Quý 4/2013,332565,190579,241889,198479,492795
Quý 1/2014,349270,158475,200867,197167,447526
Quý 2/2014,334168,155462,190373,195363,430236
Quý 3/2014,347885,180671,186724,204211,441597
Quý 4/2014,373725,210694,220456,245584,466040
Quý 1/2015,370626,225715,228137,234286,462423
Quý 2/2015,439826,269005,273839,255759,529598
Quý 3/2015,557352,352480,360437,284494,644931
Quý 4/2015,506320,299736,306927,286449,593376
Quý 1/2016,539152,336211,347873,278301,626174
Quý 2/2016,612312,387636,400225,303645,703870
Quý 3/2016,700527,420291,443236,349944,793180
Quý 4/2016,479061,207962,238160,332077,570238
Quý 1/2017,425416,164558,204399,328423,532821
Quý 2/2017,417864,159805,193689,334644,528333
Quý 3/2017,430765,166596,196785,327694,524480
Quý 4/2017,408429,136134,166943,336006,502948
Quý 1/2018,410553,139951,167959,341499,509458
Quý 2/2018,377675,107410,132637,342133,474770
Quý 3/2018,404092,137305,161720,338747,500467
Quý 4/2018,368161,128184,141030,322687,463718
Quý 1/2019,336454,107265,117147,325042,442189
Quý 2/2019,415331,180256,189045,321223,510268
Quý 3/2019,417476,193517,202298,309640,511937
Quý 4/2019,410426,178141,186128,318800,504929
Quý 1/2020,441661,207201,216183,317264,533446
Quý 2/2020,470084,238660,247472,319733,567206
Quý 3/2020,502024,271724,280327,325352,605679
Quý 4/2020,499666,242865,254058,339343,593401
Quý 1/2021,458149,201231,212290,340709,552999
Quý 2/2021,438246,188398,198039,331343,529381
Quý 3/2021,515562,255748,265070,339434,604505
Quý 4/2021,556342,227079,238935,388172,627107
Quý 1/2022,512071,193734,202697,387816,590513
Quý 2/2022,479559,240322,248626,390083,638708
Quý 3/2022,511501,262378,270488,402260,672748
Quý 4/2022,490135,233317,243091,407773,650864
Quý 1/2023,463268,202637,212359,414991,627350
Quý 2/2023,435191,172356,180960,413747,594707
Quý 3/2023,466273,257931,265676,361873,627549
Quý 4/2023,419803,201802,211924,359525,571449
Quý 1/2024,329110,114373,121937,354679,476616
Quý 2/2024,439702,227584,234603,349283,583887
Quý 3/2024,540134,313339,321656,360739,682394
Quý 4/2024,543805,262641,272320,408925,681245
Quý 1/2025,402749,121418,131008,405788,536796
Quý 2/2025,387372,98311,108287,410737,519024
Quý 3/2025,475427,125699,135584,473818,609402
