date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2012-08-27,1360.0,1360.0,1360.0,1360.0,10120,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-08-28,1300.0,1430.0,1300.0,1360.0,8900,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-08-29,1390.0,1390.0,1330.0,1390.0,1270,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-08-30,1390.0,1390.0,1360.0,1390.0,710,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-08-31,1430.0,1430.0,1390.0,1390.0,60,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-04,1330.0,1390.0,1330.0,1390.0,15370,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-05,1390.0,1390.0,1330.0,1330.0,5860,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-06,1390.0,1390.0,1300.0,1330.0,4840,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-07,1390.0,1390.0,1270.0,1330.0,5530,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-10,1330.0,1330.0,1270.0,1270.0,110,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-11,1210.0,1270.0,1210.0,1210.0,34160,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-12,1240.0,1240.0,1180.0,1180.0,640,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-13,1150.0,1210.0,1150.0,1150.0,5500,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-14,1150.0,1180.0,1120.0,1180.0,31550,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-17,1210.0,1210.0,1150.0,1150.0,2570,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-18,1150.0,1150.0,1120.0,1120.0,10540,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-19,1120.0,1120.0,1080.0,1080.0,37810,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-20,1050.0,1080.0,1050.0,1050.0,8250,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-21,1080.0,1080.0,1050.0,1080.0,15300,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-24,1120.0,1120.0,1050.0,1120.0,8500,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-25,1150.0,1150.0,1080.0,1080.0,10520,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-26,1050.0,1050.0,1050.0,1050.0,1090,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-27,1020.0,1050.0,1020.0,1050.0,18100,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-09-28,1020.0,1080.0,1020.0,1080.0,4800,8910.0,-642.0,-8.1,1.24,3.39,2.14,1079265,915518,1118506,599999,1716360
2012-10-01,1120.0,1120.0,1080.0,1080.0,15760,9040.0,-615.0,-5.69,0.29,0.86,0.71,1137597,970185,1190791,608780,1828572
2012-10-02,1050.0,1080.0,1050.0,1050.0,16870,9040.0,-615.0,-5.69,0.29,0.86,0.71,1137597,970185,1190791,608780,1828572
2012-10-03,1080.0,1080.0,1080.0,1080.0,1200,9040.0,-615.0,-5.69,0.29,0.86,0.71,1137597,970185,1190791,608780,1828572
2012-10-04,1050.0,1080.0,1050.0,1080.0,3500,9040.0,-615.0,-5.69,0.29,0.86,0.71,1137597,970185,1190791,608780,1828572
