date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2012-08-27,6870.0,7230.0,6870.0,6870.0,16320,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-08-28,7140.0,7140.0,6870.0,7140.0,30300,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-08-29,7230.0,7400.0,7170.0,7320.0,32480,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-08-30,7320.0,7320.0,7320.0,7320.0,100,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-08-31,7260.0,7320.0,7260.0,7290.0,8500,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-04,7290.0,7320.0,6960.0,7320.0,126050,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-05,7320.0,7460.0,7110.0,7430.0,13500,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-06,7350.0,7430.0,7110.0,7260.0,84350,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-07,7170.0,7320.0,7170.0,7320.0,44000,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-10,7460.0,7460.0,6960.0,7320.0,12170,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-11,7170.0,7320.0,7170.0,7170.0,29360,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-12,7170.0,7170.0,7170.0,7170.0,0,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-13,7170.0,7170.0,7170.0,7170.0,0,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-14,7320.0,7320.0,6810.0,7260.0,143430,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-17,7110.0,7260.0,7110.0,7260.0,17000,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-18,7170.0,7230.0,7110.0,7230.0,8370,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-19,7230.0,7290.0,7230.0,7260.0,66290,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-20,7200.0,7200.0,6900.0,6900.0,5010,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-21,7170.0,7170.0,7170.0,7170.0,3010,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-24,6930.0,7140.0,6810.0,7140.0,153110,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-25,7170.0,7170.0,6930.0,7020.0,53900,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-26,7140.0,7140.0,7140.0,7140.0,5200,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-27,7200.0,7230.0,6960.0,7140.0,101510,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-09-28,7140.0,7170.0,7110.0,7170.0,35000,17515.0,3490.0,6.88,2.77,4.7,20.64,756820,365806,382340,641503,1023903
2012-10-01,6870.0,6870.0,6840.0,6840.0,50500,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-02,7110.0,7110.0,7110.0,7110.0,3110,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-03,7110.0,7110.0,7110.0,7110.0,3020,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-04,6810.0,7110.0,6810.0,7110.0,21000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-05,7110.0,7110.0,7110.0,7110.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-08,7140.0,7140.0,6870.0,6870.0,1020,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-09,7170.0,7170.0,7170.0,7170.0,10,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-10,6870.0,6870.0,6840.0,6840.0,100000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-11,6900.0,6900.0,6900.0,6900.0,120000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-12,6900.0,7170.0,6900.0,7170.0,120510,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-15,6930.0,6990.0,6810.0,6990.0,406500,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-16,6810.0,6810.0,6660.0,6750.0,301010,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-17,6750.0,6750.0,6750.0,6750.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-18,6810.0,6900.0,6450.0,6780.0,401510,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-19,6990.0,6990.0,6990.0,6990.0,30,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-22,6750.0,6750.0,6660.0,6660.0,300010,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-23,6720.0,6870.0,6720.0,6870.0,6070,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-24,7020.0,7110.0,6930.0,7110.0,61040,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-25,7110.0,7290.0,7110.0,7290.0,85070,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-26,7260.0,7290.0,7170.0,7290.0,82340,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-29,7290.0,7290.0,7290.0,7290.0,10100,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-30,7290.0,7290.0,7290.0,7290.0,100,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-10-31,7290.0,7290.0,7290.0,7290.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-01,7230.0,7230.0,7170.0,7230.0,19000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-02,7230.0,7230.0,7230.0,7230.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-05,7170.0,7230.0,7170.0,7230.0,20000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-06,7170.0,7170.0,7170.0,7170.0,8510,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-07,7170.0,7170.0,7170.0,7170.0,15260,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-08,7110.0,7110.0,7110.0,7110.0,20,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-09,7140.0,7140.0,7140.0,7140.0,5000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-12,7200.0,7230.0,6870.0,7170.0,37900,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-13,7140.0,7200.0,7140.0,7200.0,44510,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-14,7200.0,7200.0,7200.0,7200.0,50780,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-15,7230.0,7230.0,7200.0,7200.0,11000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-16,7200.0,7320.0,7200.0,7320.0,6460,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-19,7320.0,7320.0,7320.0,7320.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-20,7200.0,7200.0,7200.0,7200.0,5000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-21,7230.0,7350.0,7230.0,7350.0,17720,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-22,7320.0,7350.0,7320.0,7350.0,6000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-23,7380.0,7430.0,7380.0,7430.0,13500,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-26,7430.0,7460.0,7430.0,7460.0,5300,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-27,7170.0,7520.0,7170.0,7520.0,11950,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-28,7320.0,7760.0,7320.0,7760.0,6110,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-29,7760.0,7760.0,7760.0,7760.0,150,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-11-30,7520.0,7760.0,7520.0,7670.0,42050,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-03,7760.0,7940.0,7760.0,7940.0,30000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-04,7940.0,7940.0,7850.0,7910.0,43960,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-05,7910.0,7910.0,7910.0,7910.0,27000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-06,7910.0,7940.0,7760.0,7940.0,61910,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-07,7760.0,7910.0,7760.0,7910.0,7980,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-10,7940.0,7940.0,7940.0,7940.0,1000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-11,7940.0,7940.0,7910.0,7910.0,21910,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-12,8000.0,8029.999999999999,7910.0,8029.999999999999,5700,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-13,8029.999999999999,8029.999999999999,8029.999999999999,8029.999999999999,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-14,8029.999999999999,8060.000000000001,8029.999999999999,8029.999999999999,12500,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-17,8029.999999999999,8210.0,8029.999999999999,8210.0,720690,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-18,8360.0,8360.0,8360.0,8360.0,10,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-19,8060.000000000001,8360.0,8060.000000000001,8360.0,9700,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-20,8360.0,8360.0,8360.0,8360.0,0,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-21,8300.0,8390.0,8300.0,8360.0,12600,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-24,8390.0,8510.0,8390.0,8510.0,15270,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-25,8510.0,8540.0,8510.0,8510.0,18000,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-26,8210.0,8210.0,8210.0,8210.0,4100,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-27,8240.0,8300.0,8210.0,8210.0,19300,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2012-12-28,8210.0,8360.0,7820.0,8119.999999999999,6790,18362.0,3217.0,8.46,3.94,5.88,20.56,629200,254206,267745,672506,940310
2013-01-02,8119.999999999999,8119.999999999999,8119.999999999999,8119.999999999999,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-03,8119.999999999999,8119.999999999999,8119.999999999999,8119.999999999999,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-04,8119.999999999999,8119.999999999999,8119.999999999999,8119.999999999999,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-07,7750.0,8460.0,7750.0,8460.0,960,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-08,8460.0,8870.0,8460.0,8800.0,7350,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-09,8900.0,8900.0,8370.0,8370.0,2100,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-10,8370.0,8370.0,8370.0,8370.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-11,8210.0,8210.0,7970.0,7970.0,2010,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-14,8310.0,8310.0,8310.0,8310.0,1200,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-15,8310.0,8310.0,8310.0,8310.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-16,8370.0,8370.0,8340.0,8340.0,3000,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-17,8340.0,8340.0,8340.0,8340.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-18,7780.0,8340.0,7780.0,8340.0,110,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-21,8770.0,8770.0,8370.0,8430.0,13210,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-22,7840.0,8430.0,7840.0,8430.0,110,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-23,8560.0,8560.0,8560.0,8560.0,100,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-24,8560.0,8560.0,8560.0,8560.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-25,8560.0,8560.0,8560.0,8560.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-28,8560.0,8560.0,8560.0,8560.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-29,7970.0,8710.0,7970.0,8680.0,6690,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-30,8650.0,8650.0,8119.999999999999,8370.0,6030,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-01-31,7900.0,7900.0,7900.0,7900.0,20,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-01,8340.0,8340.0,8340.0,8340.0,100,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-04,8620.0,8620.0,8340.0,8370.0,1060,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-05,8370.0,8370.0,8370.0,8370.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-06,8310.0,8430.0,8310.0,8430.0,2800,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-07,8430.0,8430.0,8430.0,8430.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-08,8430.0,8430.0,8430.0,8430.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-18,8430.0,8930.0,8430.0,8930.0,300,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-19,8930.0,8930.0,8930.0,8930.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-20,8460.0,8460.0,8460.0,8460.0,170,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-21,8460.0,8460.0,8460.0,8460.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-22,7870.0,8310.0,7870.0,8310.0,510,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-25,7780.0,8310.0,7780.0,8310.0,1210,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-26,8310.0,8310.0,8310.0,8310.0,0,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
2013-02-27,8310.0,8310.0,8310.0,8310.0,100,17513.0,2256.0,13.08,0.37,0.52,3.65,574393,250403,264067,641422,905546
