date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Total_Assets,Total_Liabilities,Current_Liabilities,Equity
2012-08-27,4580.0,4580.0,4260.0,4260.0,327330,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-08-28,4270.0,4350.0,4130.0,4150.0,387150,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-08-29,4250.0,4250.0,4140.0,4160.0,516890,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-08-30,4160.0,4190.0,4140.0,4160.0,556380,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-08-31,4160.0,4360.0,4150.0,4360.0,490150,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-04,4560.0,4580.0,4420.0,4550.0,196570,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-05,4550.0,4560.0,4410.0,4410.0,172150,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-06,4350.0,4410.0,4260.0,4290.0,146150,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-07,4290.0,4300.0,4250.0,4280.0,105620,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-10,4290.0,4290.0,4150.0,4180.0,94970,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-11,4050.0,4210.0,4050.0,4190.0,91990,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-12,4180.0,4270.0,4180.0,4210.0,55010,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-13,4230.0,4230.0,4170.0,4210.0,142710,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-14,4270.0,4270.0,4210.0,4210.0,143660,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-17,4210.0,4220.0,4170.0,4200.0,98290,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-18,4180.0,4200.0,4110.0,4110.0,168920,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-19,3990.0,4080.0,3960.0,3990.0,486130,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-20,4010.0,4050.0,3970.0,3990.0,138350,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-21,4020.0,4050.0,3990.0,4010.0,49890,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-24,4010.0,4010.0,3970.0,3980.0,104050,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-25,4010.0,4010.0,3970.0,3980.0,126430,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-26,4010.0,4040.0,3970.0,4030.000000000001,129510,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-27,4060.0,4220.0,4040.0,4140.0,254170,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-09-28,4140.0,4180.0,4110.0,4130.0,94180,22457.0,6795.0,5.58,2.33,5.53,4.58,11037975,14692014,7520895,7219370,6152706
2012-10-01,4070.000000000001,4090.0,3990.0,4020.0,74140,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-02,4020.0,4040.0,3990.0,4020.0,110610,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-03,4020.0,4050.0,4020.0,4020.0,65800,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-04,4020.0,4040.0,4010.0,4010.0,93060,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-05,4030.000000000001,4030.000000000001,4010.0,4010.0,46100,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-08,3980.0,4040.0,3980.0,4020.0,64880,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-09,4030.000000000001,4140.0,4020.0,4050.0,143640,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-10,4080.0,4080.0,4060.0,4080.0,42760,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-11,4110.0,4110.0,4070.000000000001,4070.000000000001,160130,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-12,4070.000000000001,4090.0,4040.0,4040.0,45680,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-15,4030.000000000001,4050.0,4020.0,4020.0,63990,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-16,4010.0,4050.0,4010.0,4040.0,67270,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-17,4030.000000000001,4060.0,4030.000000000001,4040.0,26680,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-18,4040.0,4040.0,3990.0,3990.0,60410,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-19,4030.000000000001,4030.000000000001,3960.0,3980.0,60110,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-22,4020.0,4020.0,3970.0,3970.0,57430,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-23,3970.0,3980.0,3960.0,3970.0,76660,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-24,3970.0,3980.0,3970.0,3970.0,81980,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-25,3940.0,3970.0,3940.0,3970.0,61750,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-26,3970.0,3970.0,3940.0,3960.0,31920,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-29,3940.0,3960.0,3940.0,3950.0,47580,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-30,3910.0,3940.0,3910.0,3910.0,94430,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
2012-10-31,3910.0,3920.0,3900.0,3900.0,91490,22563.0,6318.0,5.57,3.1,7.28,5.43,10282181,14270464,7194525,6899105,6181640
