date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2012-08-27,1890.0,1980.0,1890.0,1890.0,9240,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-08-28,1890.0,1890.0,1800.0,1800.0,8860,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-08-29,1800.0,1860.0,1740.0,1800.0,58570,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-08-30,1800.0,1800.0,1710.0,1800.0,12270,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-08-31,1770.0,1800.0,1740.0,1800.0,6600,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-04,1800.0,1830.0,1710.0,1710.0,6700,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-05,1770.0,1770.0,1680.0,1770.0,730,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-06,1800.0,1800.0,1740.0,1770.0,3820,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-07,1770.0,1770.0,1710.0,1710.0,3350,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-10,1680.0,1710.0,1650.0,1680.0,13080,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-11,1710.0,1710.0,1620.0,1620.0,5250,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-12,1650.0,1650.0,1620.0,1620.0,730,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-13,1680.0,1680.0,1650.0,1680.0,12240,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-14,1740.0,1740.0,1650.0,1680.0,39580,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-17,1680.0,1680.0,1620.0,1620.0,15060,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-18,1590.0,1590.0,1560.0,1560.0,6400,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-19,1500.0,1560.0,1500.0,1500.0,23570,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-20,1440.0,1560.0,1440.0,1560.0,3270,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-21,1590.0,1590.0,1500.0,1500.0,4820,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-24,1500.0,1530.0,1440.0,1530.0,2840,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-25,1470.0,1530.0,1470.0,1500.0,10560,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-26,1530.0,1530.0,1500.0,1500.0,1270,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
2012-09-27,1500.0,1500.0,1470.0,1470.0,4860,16013.0,2680.0,3.58,0.16,0.53,0.95,366148,286748,351468,204504,688655
