time,open,high,low,close,volume
2012-08-27,1.89,1.98,1.89,1.89,9240
2012-08-28,1.89,1.89,1.8,1.8,8860
2012-08-29,1.8,1.86,1.74,1.8,58570
2012-08-30,1.8,1.8,1.71,1.8,12270
2012-08-31,1.77,1.8,1.74,1.8,6600
2012-09-04,1.8,1.83,1.71,1.71,6700
2012-09-05,1.77,1.77,1.68,1.77,730
2012-09-06,1.8,1.8,1.74,1.77,3820
2012-09-07,1.77,1.77,1.71,1.71,3350
2012-09-10,1.68,1.71,1.65,1.68,13080
2012-09-11,1.71,1.71,1.62,1.62,5250
2012-09-12,1.65,1.65,1.62,1.62,730
2012-09-13,1.68,1.68,1.65,1.68,12240
2012-09-14,1.74,1.74,1.65,1.68,39580
2012-09-17,1.68,1.68,1.62,1.62,15060
2012-09-18,1.59,1.59,1.56,1.56,6400
2012-09-19,1.5,1.56,1.5,1.5,23570
2012-09-20,1.44,1.56,1.44,1.56,3270
2012-09-21,1.59,1.59,1.5,1.5,4820
2012-09-24,1.5,1.53,1.44,1.53,2840
2012-09-25,1.47,1.53,1.47,1.5,10560
2012-09-26,1.53,1.53,1.5,1.5,1270
2012-09-27,1.5,1.5,1.47,1.47,4860
2012-09-28,1.53,1.53,1.53,1.53,2300
2012-10-01,1.5,1.5,1.47,1.47,7980
2012-10-02,1.47,1.47,1.41,1.47,9910
2012-10-03,1.47,1.5,1.47,1.5,1990
2012-10-04,1.5,1.56,1.44,1.56,4400
2012-10-05,1.56,1.59,1.5,1.59,4090
2012-10-08,1.53,1.53,1.53,1.53,2000
2012-10-09,1.53,1.56,1.5,1.56,70
2012-10-10,1.5,1.56,1.5,1.56,17610
2012-10-11,1.59,1.59,1.53,1.59,6440
2012-10-12,1.59,1.59,1.53,1.53,570
2012-10-15,1.47,1.56,1.47,1.47,1310
2012-10-16,1.53,1.53,1.5,1.5,1120
2012-10-17,1.5,1.5,1.5,1.5,5720
2012-10-18,1.53,1.53,1.53,1.53,310
2012-10-19,1.53,1.56,1.5,1.56,3290
2012-10-22,1.5,1.59,1.5,1.59,1310
2012-10-23,1.53,1.53,1.53,1.53,40
2012-10-24,1.53,1.53,1.53,1.53,150
2012-10-25,1.47,1.53,1.47,1.53,9520
2012-10-26,1.53,1.53,1.53,1.53,1000
2012-10-29,1.5,1.53,1.47,1.53,960
2012-10-30,1.47,1.47,1.47,1.47,30
2012-10-31,1.47,1.53,1.41,1.5,3350
2012-11-01,1.44,1.5,1.44,1.47,630
2012-11-02,1.41,1.5,1.41,1.5,9410
2012-11-05,1.44,1.5,1.44,1.5,12640
2012-11-06,1.44,1.44,1.44,1.44,510
2012-11-07,1.38,1.38,1.38,1.38,12590
2012-11-08,1.32,1.32,1.32,1.32,11140
2012-11-09,1.26,1.26,1.26,1.26,1140
2012-11-12,1.2,1.2,1.2,1.2,64260
2012-11-13,1.23,1.23,1.17,1.17,1490
2012-11-14,1.2,1.2,1.17,1.17,8840
2012-11-15,1.17,1.2,1.17,1.2,3210
2012-11-16,1.17,1.17,1.17,1.17,180
2012-11-19,1.17,1.17,1.14,1.14,740
2012-11-20,1.11,1.17,1.11,1.11,5510
2012-11-21,1.14,1.14,1.11,1.14,12790
2012-11-22,1.17,1.17,1.17,1.17,25580
2012-11-23,1.2,1.2,1.2,1.2,30230
2012-11-26,1.2,1.2,1.2,1.2,6600
2012-11-27,1.2,1.2,1.17,1.17,6020
2012-11-28,1.14,1.2,1.14,1.2,8510
2012-11-29,1.2,1.23,1.2,1.2,17200
2012-11-30,1.17,1.2,1.17,1.2,1570
2012-12-03,1.17,1.2,1.14,1.14,5940
2012-12-04,1.14,1.17,1.14,1.17,26850
2012-12-05,1.2,1.2,1.2,1.2,12680
2012-12-06,1.17,1.26,1.17,1.26,37110
2012-12-07,1.26,1.32,1.26,1.32,62390
2012-12-10,1.35,1.35,1.29,1.32,14190
2012-12-11,1.29,1.32,1.29,1.29,21260
2012-12-12,1.29,1.35,1.29,1.35,39570
2012-12-13,1.29,1.41,1.29,1.41,57180
2012-12-14,1.38,1.44,1.35,1.44,67470
2012-12-17,1.41,1.5,1.38,1.5,37890
2012-12-18,1.5,1.56,1.44,1.56,48790
2012-12-19,1.53,1.56,1.5,1.5,91890
2012-12-20,1.47,1.47,1.44,1.44,50230
2012-12-21,1.38,1.41,1.38,1.38,18290
2012-12-24,1.38,1.44,1.38,1.41,77560
2012-12-25,1.41,1.44,1.41,1.44,9620
2012-12-26,1.41,1.44,1.41,1.44,9300
2012-12-27,1.47,1.5,1.44,1.47,41690
2012-12-28,1.41,1.53,1.41,1.53,41650
2013-01-02,1.53,1.59,1.53,1.56,42670
2013-01-03,1.59,1.62,1.53,1.62,17400
2013-01-04,1.59,1.65,1.56,1.65,45120
2013-01-07,1.65,1.68,1.59,1.59,103350
2013-01-08,1.59,1.62,1.53,1.62,88480
2013-01-09,1.56,1.56,1.56,1.56,13400
2013-01-10,1.5,1.5,1.5,1.5,17500
2013-01-11,1.44,1.5,1.44,1.44,31550
2013-01-14,1.44,1.44,1.38,1.38,16580
2013-01-15,1.41,1.47,1.41,1.47,17170
2013-01-16,1.53,1.56,1.53,1.56,59260
2013-01-17,1.65,1.65,1.62,1.65,110220
2013-01-18,1.65,1.71,1.56,1.65,77260
2013-01-21,1.65,1.65,1.56,1.56,31970
2013-01-22,1.62,1.62,1.5,1.53,21710
2013-01-23,1.56,1.56,1.44,1.56,12690
2013-01-24,1.56,1.56,1.47,1.53,12260
2013-01-25,1.5,1.59,1.47,1.59,21350
2013-01-28,1.59,1.59,1.5,1.53,8490
2013-01-29,1.53,1.53,1.44,1.44,55790
2013-01-30,1.41,1.47,1.41,1.44,9100
2013-01-31,1.44,1.47,1.44,1.47,5670
2013-02-01,1.47,1.5,1.41,1.41,17390
2013-02-04,1.38,1.5,1.38,1.5,33690
2013-02-05,1.53,1.56,1.5,1.56,34550
2013-02-06,1.56,1.56,1.47,1.5,15920
2013-02-07,1.5,1.5,1.47,1.5,14040
2013-02-08,1.56,1.56,1.5,1.5,14290
2013-02-18,1.53,1.53,1.5,1.5,5010
2013-02-19,1.5,1.5,1.5,1.5,62730
2013-02-20,1.5,1.53,1.47,1.5,119350
2013-02-21,1.5,1.5,1.44,1.5,56240
2013-02-22,1.5,1.53,1.47,1.53,6640
2013-02-25,1.53,1.53,1.53,1.53,0
2013-02-26,1.44,1.47,1.44,1.47,8310
2013-02-27,1.47,1.47,1.38,1.47,10540
2013-02-28,1.38,1.47,1.38,1.38,30250
2013-03-01,1.35,1.41,1.32,1.38,39610
2013-03-04,1.38,1.38,1.29,1.29,57790
2013-03-05,1.38,1.38,1.2,1.2,54960
2013-03-06,1.23,1.23,1.17,1.2,50640
2013-03-07,1.17,1.2,1.17,1.2,14380
2013-03-08,1.2,1.23,1.2,1.23,118190
2013-03-11,1.23,1.26,1.23,1.26,20310
2013-03-12,1.26,1.29,1.26,1.26,12020
2013-03-13,1.26,1.26,1.2,1.2,24540
2013-03-14,1.23,1.26,1.23,1.26,32330
2013-03-15,1.23,1.32,1.23,1.29,18680
2013-03-18,1.29,1.29,1.26,1.29,8950
2013-03-19,1.23,1.29,1.2,1.2,13060
2013-03-20,1.17,1.26,1.17,1.26,12220
2013-03-21,1.23,1.23,1.2,1.2,28330
2013-03-22,1.2,1.23,1.2,1.23,6030
2013-03-25,1.23,1.23,1.17,1.17,16590
2013-03-26,1.17,1.17,1.14,1.14,34680
2013-03-27,1.2,1.2,1.14,1.2,2110
2013-03-28,1.14,1.17,1.14,1.14,22210
2013-03-29,1.11,1.17,1.11,1.17,11820
2013-04-01,1.2,1.2,1.17,1.17,11190
2013-04-02,1.2,1.2,1.11,1.14,2850
2013-04-03,1.11,1.11,1.08,1.11,6140
2013-04-04,1.11,1.11,1.11,1.11,6160
2013-04-05,1.11,1.17,1.11,1.17,1500
2013-04-08,1.17,1.17,1.17,1.17,15000
2013-04-09,1.2,1.2,1.17,1.17,7980
2013-04-10,1.17,1.2,1.14,1.17,1820
2013-04-11,1.2,1.2,1.14,1.17,150
2013-04-12,1.14,1.14,1.11,1.14,20310
2013-04-15,1.11,1.11,1.08,1.08,16640
2013-04-16,1.02,1.08,1.02,1.08,20320
2013-04-17,1.02,1.08,1.02,1.05,7510
2013-04-18,1.02,1.05,0.99,0.99,14520
2013-04-22,0.96,1.05,0.96,1.05,11420
2013-04-23,1.05,1.11,1.05,1.11,5400
2013-04-24,1.05,1.14,1.05,1.14,10620
2013-04-25,1.08,1.14,1.08,1.14,450
2013-04-26,1.14,1.17,1.14,1.17,20
2013-05-02,1.11,1.11,1.11,1.11,1010
2013-05-03,1.11,1.14,1.05,1.14,22380
2013-05-06,1.14,1.14,1.08,1.08,14260
2013-05-07,1.14,1.14,1.08,1.14,6020
2013-05-08,1.11,1.14,1.11,1.14,10150
2013-05-09,1.14,1.17,1.14,1.17,10210
2013-05-10,1.2,1.2,1.11,1.11,60670
