Thời gian,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS
Quý 3/2009,10907,114,0.0,0.83,2.1,0.71
Quý 1/2010,10836,286,76.91,1.24,3.98,1.72
Quý 2/2010,10765,392,63.8,0.28,0.98,0.67
Quý 3/2010,11353,793,25.47,1.47,4.66,3.35
Quý 4/2010,11353,1309,15.12,1.52,4.54,3.35
Quý 1/2011,10943,1239,12.27,0.35,0.93,0.71
Quý 2/2011,10974,1175,7.58,0.16,0.38,0.31
Quý 3/2011,10276,723,11.76,0.25,0.58,0.49
Quý 4/2011,8979,-774,-7.75,-3.92,-9.67,-9.2
Quý 1/2012,8620,-919,-7.07,-0.24,-0.63,-0.64
Quý 2/2012,8910,-642,-8.1,1.24,3.39,2.14
Quý 3/2012,9040,-615,-5.69,0.29,0.86,0.71
Quý 4/2012,8774,329,14.3,0.03,0.09,0.53
Quý 1/2013,8425,288,19.76,-0.38,-1.11,-1.2
Quý 2/2013,8527,87,51.63,0.4,1.14,0.94
Quý 3/2013,8960,412,9.94,1.66,4.56,3.68
Quý 4/2013,8812,332,13.55,-0.29,-0.82,-0.2
Quý 1/2014,8880,607,12.84,0.7,1.99,1.92
Quý 2/2014,9338,1000,6.3,2.0,5.29,4.22
Quý 3/2014,9899,1193,7.29,2.39,6.13,5.07
Quý 4/2014,10178,1584,5.62,1.18,2.98,2.5
Quý 1/2015,14863,1641,6.89,0.82,1.8,2.57
Quý 2/2015,15339,1661,9.39,1.68,3.32,4.69
Quý 3/2015,16124,1713,8.29,2.09,4.07,4.97
Quý 4/2015,16460,1664,8.95,0.82,1.62,2.68
Quý 1/2016,16649,1741,8.96,0.9,1.86,2.86
Quý 2/2016,16271,1768,8.2,1.48,3.21,3.57
Quý 3/2016,17352,1765,9.63,1.75,3.82,4.6
Quý 4/2016,17810,1849,8.11,0.96,2.0,3.01
Quý 1/2017,14079,1938,7.38,1.05,2.52,3.32
Quý 2/2017,14124,2447,6.74,2.6,7.42,6.24
Quý 3/2017,19163,2567,6.51,1.74,4.61,4.34
Quý 4/2017,18822,2484,11.67,0.59,1.42,2.87
Quý 1/2018,19264,2651,11.92,1.21,3.0,4.04
Quý 2/2018,19411,2315,9.2,1.43,3.66,4.79
Quý 3/2018,20351,2251,10.66,1.36,3.53,4.29
Quý 4/2018,19231,2329,10.3,0.69,1.87,3.21
Quý 1/2019,19183,1865,16.09,0.22,0.63,1.95
Quý 2/2019,31019,1854,20.34,1.12,2.71,5.69
Quý 3/2019,22632,2015,18.66,1.43,2.98,5.59
Quý 4/2019,22735,1851,19.39,0.6,1.23,3.66
Quý 1/2020,22936,1938,11.61,0.59,1.25,4.04
Quý 2/2020,23578,1776,17.48,0.93,2.01,5.26
Quý 3/2020,23452,1749,19.84,1.42,3.06,5.7
Quý 4/2020,23989,1843,20.62,0.74,1.57,3.91
Quý 1/2021,23863,2000,18.0,0.86,1.87,4.8
Quý 2/2021,24812,2284,16.33,1.4,3.09,7.01
Quý 3/2021,25904,2549,23.07,1.72,3.88,6.48
Quý 4/2021,26615,2610,22.99,0.71,1.65,3.45
Quý 1/2022,25832,2938,21.44,1.26,2.9,5.38
Quý 2/2022,27175,3025,19.34,1.38,3.14,5.65
Quý 3/2022,28217,3085,14.85,1.64,3.7,5.42
Quý 4/2022,20818,2818,14.19,0.65,1.43,2.85
Quý 1/2023,21056,2608,15.3,1.24,2.67,5.46
Quý 2/2023,21514,2246,20.57,0.98,2.12,4.52
Quý 3/2023,21740,2210,21.63,1.83,3.99,7.24
Quý 4/2023,17585,2145,20.28,0.61,1.31,3.66
Quý 1/2024,18106,2016,19.81,1.18,2.45,5.42
Quý 2/2024,18091,1861,32.78,0.81,1.77,3.56
Quý 3/2024,18833,1737,29.25,1.64,3.6,6.56
Quý 4/2024,19341,1848,26.65,1.05,2.22,5.54
Quý 1/2025,17981,1865,20.37,1.21,2.52,5.28
Quý 2/2025,18298,1946,21.22,1.05,2.26,4.66
Quý 3/2025,18850,1933,20.28,1.44,3.42,6.47
