Thời gian,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS
Quý 1/2010,0,0,0.0,0.0,0.0,14.59
Quý 2/2010,0,0,0.0,0.0,0.0,12.06
Quý 3/2010,18249,3501,0.0,11.54,28.37,21.89
Quý 4/2010,18814,7697,5.96,8.43,18.93,27.61
Quý 1/2011,19958,7405,4.86,2.59,5.4,35.69
Quý 2/2011,18412,7056,4.21,0.87,1.73,12.77
Quý 3/2011,19557,6040,4.97,3.4,6.29,26.25
Quý 4/2011,19864,3980,7.92,3.8,7.14,22.01
Quý 1/2012,21269,4026,6.9,2.87,5.27,45.54
Quý 2/2012,16191,3907,5.63,0.84,1.49,11.36
Quý 3/2012,17515,3490,6.88,2.77,4.7,20.64
Quý 4/2012,18362,3217,8.46,3.94,5.88,20.56
Quý 1/2013,17513,2256,13.08,0.37,0.52,3.65
Quý 2/2013,17514,2062,11.25,0.48,0.69,7.13
Quý 3/2013,16855,1411,13.74,0.57,0.82,5.68
Quý 4/2013,17361,1016,17.22,2.62,3.83,14.09
Quý 1/2014,16481,1056,17.43,0.53,0.8,10.32
Quý 2/2014,16654,985,14.83,0.23,0.34,3.41
Quý 3/2014,16480,868,16.25,0.12,0.18,3.26
Quý 4/2014,17957,1702,8.11,5.47,8.58,29.11
Quý 1/2015,17936,1763,9.07,0.69,1.11,8.09
Quý 2/2015,16734,1733,8.95,0.09,0.15,-0.47
Quý 3/2015,16359,1926,10.8,0.92,1.48,4.64
Quý 4/2015,17547,1933,11.48,5.33,8.27,19.54
Quý 1/2016,16885,1816,12.99,0.38,0.61,5.41
Quý 2/2016,17230,2419,10.01,2.11,3.84,9.72
Quý 3/2016,16389,2937,7.7,2.48,4.72,6.21
Quý 4/2016,16903,2177,12.17,2.23,3.7,7.57
Quý 1/2017,16917,2200,10.73,0.71,1.02,7.68
Quý 2/2017,16500,1911,12.04,1.49,2.15,8.67
Quý 3/2017,16499,1338,11.73,0.8,1.16,6.4
Quý 4/2017,15593,935,14.65,0.99,1.35,9.2
Quý 1/2018,15557,759,17.73,0.04,0.05,0.2
Quý 2/2018,15543,491,20.35,0.44,0.56,3.98
Quý 3/2018,15543,314,30.21,0.05,0.06,0.51
Quý 4/2018,15633,156,49.12,0.26,0.34,1.81
Quý 1/2019,15705,191,34.69,0.21,0.27,1.95
Quý 2/2019,15724,111,60.89,0.03,0.04,1.15
Quý 3/2019,15797,162,38.67,0.3,0.38,4.75
Quý 4/2019,16278,600,9.97,2.06,3.06,4.03
Quý 1/2020,16357,641,6.49,0.32,0.51,2.31
Quý 2/2020,16423,835,6.85,0.82,1.22,6.23
Quý 3/2020,16611,868,8.07,0.41,0.56,4.8
Quý 4/2020,16860,631,14.71,0.99,1.52,3.49
Quý 1/2021,16992,677,19.95,0.45,0.76,5.09
Quý 2/2021,17206,644,24.86,0.61,0.98,7.57
Quý 3/2021,16802,767,35.15,0.83,1.27,6.32
Quý 4/2021,17126,874,29.51,1.53,2.13,12.04
Quý 1/2022,17417,961,29.03,0.95,1.25,6.45
Quý 2/2022,17580,947,16.47,0.7,0.88,6.3
Quý 3/2022,17832,972,12.03,1.07,1.36,4.92
Quý 4/2022,15503,627,15.46,0.12,0.16,0.38
Quý 1/2023,15563,468,29.16,0.31,0.39,3.94
Quý 2/2023,15619,387,34.73,0.35,0.46,14.24
Quý 3/2023,16206,678,34.28,2.25,3.19,10.43
Quý 4/2023,14008,1288,16.19,2.47,3.75,7.79
Quý 1/2024,14090,1234,19.17,0.43,0.63,6.84
Quý 2/2024,14043,1130,21.38,0.27,0.36,3.25
Quý 3/2024,14173,772,32.13,0.58,0.78,6.11
Quý 4/2024,15014,1162,23.15,4.24,6.24,21.03
Quý 1/2025,14316,1125,21.5,0.24,0.38,5.45
Quý 2/2025,13871,1199,19.02,0.71,1.11,5.49
Quý 3/2025,14045,1467,15.61,1.7,2.73,8.79
Quý 4/2025,14042,1302,18.9,2.8,4.58,9.56
