Thời gian,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS
Quý 1/2007,27565,6305,85.8,4.62,9.63,3.17
Quý 2/2007,21043,9451,32.48,5.88,11.72,4.23
Quý 3/2007,21420,9444,28.91,2.29,4.5,2.06
Quý 4/2007,21501,9313,23.94,5.97,13.73,3.34
Quý 1/2008,23124,8883,10.81,3.15,9.12,2.93
Quý 2/2008,23819,8149,6.14,3.12,9.2,3.09
Quý 3/2008,24212,8464,10.81,1.9,5.32,2.36
Quý 4/2008,16871,8366,5.98,5.35,14.16,3.96
Quý 1/2009,18353,7793,5.76,3.63,8.74,4.26
Quý 2/2009,19014,7293,9.6,3.75,8.79,3.58
Quý 3/2009,21003,8098,10.68,4.64,11.28,4.85
Quý 4/2009,20777,7468,10.58,3.18,9.58,2.45
Quý 1/2010,22879,7930,10.53,2.79,9.22,4.79
Quý 2/2010,19097,8982,7.68,3.54,11.1,4.71
Quý 3/2010,19618,7995,8.88,2.37,7.5,2.96
Quý 4/2010,20567,7473,8.63,2.45,7.81,4.2
Quý 1/2011,22080,7039,7.25,2.37,7.18,4.08
Quý 2/2011,23713,6733,7.13,3.3,9.37,5.93
Quý 3/2011,25210,7913,6.51,3.86,10.22,5.32
Quý 4/2011,25578,8472,5.87,3.17,8.43,4.19
Quý 1/2012,27100,8464,6.85,2.33,5.99,5.15
Quý 2/2012,22226,8224,5.73,2.88,6.9,5.48
Quý 3/2012,22457,6795,5.58,2.33,5.53,4.58
Quý 4/2012,22563,6318,5.57,3.1,7.28,5.43
Quý 1/2013,23831,6054,6.24,2.54,5.64,5.51
Quý 2/2013,25389,5853,7.14,3.01,6.58,6.26
Quý 3/2013,25077,5774,7.81,2.12,4.76,3.88
Quý 4/2013,26188,5858,8.04,2.84,6.72,4.8
Quý 1/2014,27512,5910,11.84,2.14,5.07,4.55
Quý 2/2014,22051,5800,8.03,2.43,5.64,5.22
Quý 3/2014,22170,5647,9.21,2.06,5.11,3.74
Quý 4/2014,22988,5241,9.16,2.11,5.8,3.48
Quý 1/2015,24357,5145,9.41,1.89,5.21,3.72
Quý 2/2015,24958,5001,9.28,2.04,4.99,5.03
Quý 3/2015,25078,4827,9.22,1.68,3.91,5.45
Quý 4/2015,25597,5213,9.26,2.72,6.71,7.47
Quý 1/2016,26766,4840,9.73,1.36,3.32,5.27
Quý 2/2016,23742,3815,10.96,0.46,1.06,7.03
Quý 3/2016,23857,3852,12.11,1.81,4.28,6.84
Quý 4/2016,24917,3704,11.88,2.35,5.9,6.71
Quý 1/2017,26076,3734,12.67,1.43,3.52,5.74
Quý 2/2017,26314,4475,10.47,1.83,4.24,6.74
Quý 3/2017,24546,4537,10.75,2.02,4.63,6.87
Quý 4/2017,24925,5895,9.69,5.19,10.81,12.54
Quý 1/2018,26178,5890,10.31,2.04,3.75,13.74
Quý 2/2018,22627,5788,7.17,2.32,4.28,13.87
Quý 3/2018,23082,5818,7.96,2.67,5.17,14.75
Quý 4/2018,24057,4509,9.36,2.72,5.44,13.33
Quý 1/2019,25312,4561,9.98,2.14,4.13,14.01
Quý 2/2019,23298,4727,9.63,2.68,5.05,14.45
Quý 3/2019,23955,4971,11.61,3.06,5.99,16.32
Quý 4/2019,24875,4797,12.15,2.3,4.57,11.97
Quý 1/2020,25989,4870,8.44,2.2,4.34,14.13
Quý 2/2020,22833,4839,9.43,2.5,4.95,15.53
Quý 3/2020,23190,4612,10.84,2.52,5.15,15.21
Quý 4/2020,23727,4743,12.46,2.47,5.34,14.45
Quý 1/2021,25166,4798,16.19,2.1,4.73,15.17
Quý 2/2021,22100,4820,18.26,2.19,5.03,14.58
Quý 3/2021,22393,4873,19.09,2.36,5.57,15.75
Quý 4/2021,23601,5059,18.38,2.55,6.24,14.57
Quý 1/2022,25295,5271,20.3,2.27,5.58,15.81
Quý 2/2022,21339,5385,16.01,2.24,5.39,15.47
Quý 3/2022,21926,5456,14.76,2.61,6.13,15.75
Quý 4/2022,23099,4805,14.68,2.53,5.47,12.42
Quý 1/2023,24665,5258,15.04,2.92,5.7,15.49
Quý 2/2023,25891,5289,16.26,2.71,5.42,14.86
Quý 3/2023,22365,5362,17.31,2.84,6.1,15.08
Quý 4/2023,23580,5476,17.55,2.82,5.92,13.96
Quý 1/2024,24980,5541,21.02,2.94,5.83,15.33
Quý 2/2024,22446,5618,23.23,2.94,5.81,14.98
Quý 3/2024,24213,5652,23.8,3.14,6.13,15.59
Quý 4/2024,24332,5697,26.77,2.99,5.87,14.16
Quý 1/2025,25759,5772,20.96,2.98,5.91,16.16
Quý 2/2025,26918,5862,20.16,2.9,5.81,16.48
Quý 3/2025,25141,5988,15.53,2.96,5.89,16.87
Quý 4/2025,25682,6017,15.92,2.93,5.78,14.77
