Thời gian,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS
Quý 3/2011,17399,849,11.07,2.58,9.76,10.95
Quý 4/2011,19022,2535,3.2,2.56,9.26,9.91
Quý 1/2012,16774,2653,3.24,0.21,0.71,0.08
Quý 2/2012,16013,2680,3.58,0.16,0.53,0.95
Quý 3/2012,15930,1923,2.65,0.2,0.68,2.08
Quý 4/2012,17027,1093,4.67,1.47,4.59,19.21
Quý 1/2013,16724,710,5.49,-0.5,-1.45,-5.76
Quý 2/2013,16807,614,7.17,-0.02,-0.05,4.49
Quý 3/2013,16982,851,4.47,0.75,2.05,3.7
Quý 4/2013,15541,738,9.35,1.53,3.96,11.99
Quý 1/2014,15438,719,10.86,-0.74,-1.7,-2.92
Quý 2/2014,15297,739,9.2,0.03,0.08,4.61
Quý 3/2014,15990,1253,9.17,2.52,5.5,13.89
Quý 4/2014,15835,1679,5.54,3.01,6.08,8.45
Quý 1/2015,18345,2102,6.09,0.44,0.85,4.16
Quý 2/2015,16689,2788,6.81,1.8,3.64,10.81
Quý 3/2015,18564,3599,4.42,3.63,7.9,12.75
Quý 4/2015,18692,3590,4.88,2.53,5.5,8.44
Quý 1/2016,18160,3561,6.04,0.62,1.33,6.92
Quý 2/2016,19816,3995,8.69,2.63,6.0,10.28
Quý 3/2016,19031,5154,4.42,5.6,12.84,11.25
Quý 4/2016,17420,4019,5.8,0.32,0.64,5.72
Quý 1/2017,17228,3682,7.43,0.28,0.47,8.18
Quý 2/2017,17554,3594,5.98,3.63,5.81,22.15
Quý 3/2017,17191,1547,13.06,1.21,1.93,10.48
Quý 4/2017,17639,1742,7.98,1.17,1.82,10.0
Quý 1/2018,17957,1812,6.51,0.56,0.83,4.73
Quý 2/2018,17994,1209,10.09,1.58,2.28,13.39
Quý 3/2018,17836,1456,8.86,2.27,3.24,9.63
Quý 4/2018,16990,1667,6.36,2.08,3.03,10.43
Quý 1/2019,17114,1573,7.54,0.22,0.31,2.4
Quý 2/2019,16913,1169,9.66,0.02,0.04,2.34
Quý 3/2019,16303,939,12.09,1.3,2.11,8.34
Quý 4/2019,16785,885,10.62,1.77,2.87,7.11
Quý 1/2020,16705,905,8.06,0.27,0.44,4.44
Quý 2/2020,16771,983,9.36,0.29,0.5,3.79
Quý 3/2020,17130,1578,6.08,3.06,5.57,12.07
Quý 4/2020,17867,1882,4.96,2.46,4.44,10.7
Quý 1/2021,17939,1893,6.92,0.28,0.48,4.94
Quý 2/2021,17446,1284,11.22,-1.84,-2.97,-22.43
Quý 3/2021,17872,804,26.25,1.56,2.64,9.65
Quý 4/2021,20438,1384,12.28,4.19,7.09,38.92
Quý 1/2022,18232,1042,17.23,-0.75,-1.17,-0.74
Quý 2/2022,18338,1840,6.28,1.05,1.66,3.66
Quý 3/2022,18911,1886,5.04,1.66,2.74,5.5
Quý 4/2022,19170,173,68.63,-1.37,-2.24,-1.11
Quý 1/2023,16965,66,164.89,-1.06,-1.64,-2.6
Quý 2/2023,16914,-365,-32.32,-0.52,-0.77,2.05
Quý 3/2023,14794,-2883,-3.73,-7.84,-12.36,-20.35
Quý 4/2023,14698,-2456,-4.01,-0.2,-0.34,1.25
Quý 1/2024,14500,-2240,-4.51,-0.47,-0.69,1.08
Quý 2/2024,14279,-2109,-8.25,0.0,0.0,3.37
Quý 3/2024,14747,122,98.36,1.05,1.87,9.16
Quý 4/2024,16717,1900,6.84,6.2,10.99,13.88
Quý 1/2025,16589,2000,6.75,0.0,0.0,5.52
Quý 2/2025,16791,2168,6.46,0.78,1.01,8.03
Quý 3/2025,18103,4277,3.06,10.4,13.27,41.37
